Feature1,Feature2,IG,MutualInfo
Pregnancies,Glucose,0.417462377,0.8144913
Pregnancies,BloodPressure,0.361207982,0.70641199
Pregnancies,SkinThickness,0.313605731,0.704820347
Pregnancies,Insulin,0.217199652,0.483812704
Pregnancies,BMI,0.384545355,0.87220145
Pregnancies,DiabetesPedigreeFunction,0.322568863,0.638450885
Pregnancies,Age,0.314931874,0.838294873
Glucose,BloodPressure,0.251638842,0.62738983
Glucose,SkinThickness,0.301612736,0.723374332
Glucose,Insulin,0.250681287,0.547841319
Glucose,BMI,0.375791954,0.893995029
Glucose,DiabetesPedigreeFunction,0.395961305,0.742390306
Glucose,Age,0.268935997,0.822845977
BloodPressure,SkinThickness,0.236295627,0.606232308
BloodPressure,Insulin,0.26461024,0.509945356
BloodPressure,BMI,0.240046557,0.706424716
BloodPressure,DiabetesPedigreeFunction,0.406453849,0.701057934
BloodPressure,Age,0.237610172,0.739695236
SkinThickness,Insulin,0.247830778,0.539176503
SkinThickness,BMI,0.15600186,0.668390627
SkinThickness,DiabetesPedigreeFunction,0.312042846,0.652657539
SkinThickness,Age,0.308501324,0.856596996
Insulin,BMI,0.220773884,0.608561087
Insulin,DiabetesPedigreeFunction,0.159878566,0.375891696
Insulin,Age,0.18935192,0.612846028
BMI,DiabetesPedigreeFunction,0.350933885,0.787990057
BMI,Age,0.160803088,0.805340239
DiabetesPedigreeFunction,Age,0.341728223,0.8144913
