Feature1,Feature2,IG,MutualInfo
Pregnancies,Glucose,0.33815211,0.692549215
Pregnancies,BloodPressure,0.341797863,0.596346709
Pregnancies,SkinThickness,0.294260806,0.590184453
Pregnancies,Insulin,0.121607817,0.348060136
Pregnancies,BMI,0.282792585,0.623491831
Pregnancies,DiabetesPedigreeFunction,0.287715208,0.533679212
Pregnancies,Age,0.314903531,0.691120627
Glucose,BloodPressure,0.304236013,0.662850359
Glucose,SkinThickness,0.203539959,0.603529106
Glucose,Insulin,0.115431818,0.445949636
Glucose,BMI,0.226884316,0.671649061
Glucose,DiabetesPedigreeFunction,0.232921745,0.582951248
Glucose,Age,0.168471431,0.648754026
BloodPressure,SkinThickness,0.235539497,0.535680385
BloodPressure,Insulin,0.169181996,0.399851555
BloodPressure,BMI,0.164272335,0.509188822
BloodPressure,DiabetesPedigreeFunction,0.233167974,0.483349218
BloodPressure,Age,0.237184819,0.617619154
SkinThickness,Insulin,0.171138936,0.443183298
SkinThickness,BMI,0.099799924,0.486091212
SkinThickness,DiabetesPedigreeFunction,0.32861079,0.620166836
SkinThickness,Age,0.320792177,0.742601314
Insulin,BMI,0.061538518,0.378358478
Insulin,DiabetesPedigreeFunction,0.18263973,0.404724447
Insulin,Age,0.151628084,0.503965893
BMI,DiabetesPedigreeFunction,0.194283276,0.53061492
BMI,Age,0.224736494,0.69132123
DiabetesPedigreeFunction,Age,0.269876566,0.64172606
