Feature1,Feature2,IG,MutualInfo
Pregnancies,Glucose,0.217264387,0.499588669
Pregnancies,BloodPressure,0.222768448,0.373416009
Pregnancies,SkinThickness,0.22978207,0.421879828
Pregnancies,Insulin,0.132613164,0.300357028
Pregnancies,BMI,0.160014151,0.359705825
Pregnancies,DiabetesPedigreeFunction,0.209737735,0.390896227
Pregnancies,Age,0.264729364,0.467944608
Glucose,BloodPressure,0.234610226,0.488388936
Glucose,SkinThickness,0.215750516,0.510979422
Glucose,Insulin,0.119525151,0.390400164
Glucose,BMI,0.138575703,0.441398525
Glucose,DiabetesPedigreeFunction,0.180543233,0.464832873
Glucose,Age,0.202596941,0.508943333
BloodPressure,SkinThickness,0.136919672,0.300471856
BloodPressure,Insulin,0.171411578,0.310609869
BloodPressure,BMI,0.098639759,0.26978586
BloodPressure,DiabetesPedigreeFunction,0.147649325,0.300262244
BloodPressure,Age,0.192363354,0.367033024
SkinThickness,Insulin,0.157081837,0.337730324
SkinThickness,BMI,0.128859224,0.341455521
SkinThickness,DiabetesPedigreeFunction,0.228984205,0.423047319
SkinThickness,Age,0.294971511,0.511091378
Insulin,BMI,0.112001608,0.300244012
Insulin,DiabetesPedigreeFunction,0.150537164,0.320246386
Insulin,Age,0.142583545,0.334349519
BMI,DiabetesPedigreeFunction,0.15886434,0.360521372
BMI,Age,0.20972097,0.433434754
DiabetesPedigreeFunction,Age,0.233825749,0.439006349
