Feature1,Feature2,IG,MutualInfo
Pregnancies,Glucose,-1.0,1.0
Pregnancies,BloodPressure,-1.0,1.0
Pregnancies,SkinThickness,-0.712641794,1.0
Pregnancies,Insulin,-0.425283587,1.0
Pregnancies,BMI,-1.0,1.0
Pregnancies,DiabetesPedigreeFunction,-0.612547487,1.0
Pregnancies,Age,-1.0,1.0
Glucose,BloodPressure,-1.0,1.0
Glucose,SkinThickness,-0.712641794,1.0
Glucose,Insulin,-0.425283587,1.0
Glucose,BMI,-1.0,1.0
Glucose,DiabetesPedigreeFunction,-0.612547487,1.0
Glucose,Age,-1.0,1.0
BloodPressure,SkinThickness,-0.712641794,1.0
BloodPressure,Insulin,-0.425283587,1.0
BloodPressure,BMI,-1.0,1.0
BloodPressure,DiabetesPedigreeFunction,-0.612547487,1.0
BloodPressure,Age,-1.0,1.0
SkinThickness,Insulin,-0.425283587,0.712641794
SkinThickness,BMI,-0.712641794,1.0
SkinThickness,DiabetesPedigreeFunction,-0.325189281,1.0
SkinThickness,Age,-0.712641794,1.0
Insulin,BMI,-0.425283587,1.0
Insulin,DiabetesPedigreeFunction,-0.037831075,1.0
Insulin,Age,-0.425283587,1.0
BMI,DiabetesPedigreeFunction,-0.612547487,1.0
BMI,Age,-1.0,1.0
DiabetesPedigreeFunction,Age,-0.612547487,1.0
