Feature1,Feature2,IG,MutualInfo
Pregnancies,Glucose,0.182580928,0.465385275
Pregnancies,BloodPressure,0.172341004,0.279171105
Pregnancies,SkinThickness,0.164523494,0.315163527
Pregnancies,Insulin,0.106607436,0.268522737
Pregnancies,BMI,0.172046434,0.359514121
Pregnancies,DiabetesPedigreeFunction,0.162973767,0.297868491
Pregnancies,Age,0.166093946,0.366062222
Glucose,BloodPressure,0.160364859,0.411076975
Glucose,SkinThickness,0.152697393,0.447219442
Glucose,Insulin,0.061650774,0.36744809
Glucose,BMI,0.099308508,0.430658211
Glucose,DiabetesPedigreeFunction,0.146007057,0.424783796
Glucose,Age,0.119378147,0.463228438
BloodPressure,SkinThickness,0.139764362,0.258312164
BloodPressure,Insulin,0.116819719,0.246642789
BloodPressure,BMI,0.0688627,0.224238156
BloodPressure,DiabetesPedigreeFunction,0.124024313,0.226826805
BloodPressure,Age,0.142880103,0.310756147
SkinThickness,Insulin,0.107274085,0.280907087
SkinThickness,BMI,0.072276597,0.271461987
SkinThickness,DiabetesPedigreeFunction,0.185121744,0.331734169
SkinThickness,Age,0.185035786,0.396721763
Insulin,BMI,0.10175256,0.312213217
Insulin,DiabetesPedigreeFunction,0.105906149,0.263793841
Insulin,Age,0.077793538,0.300754783
BMI,DiabetesPedigreeFunction,0.114504611,0.29794469
BMI,Age,0.121669904,0.370183535
DiabetesPedigreeFunction,Age,0.132440312,0.328380979
