Feature1,Feature2,IG,MutualInfo
Pregnancies,Glucose,0.177529579,0.460963304
Pregnancies,BloodPressure,0.151445111,0.256592738
Pregnancies,SkinThickness,0.123373409,0.244724185
Pregnancies,Insulin,0.090834549,0.253036285
Pregnancies,BMI,0.131928822,0.326846477
Pregnancies,DiabetesPedigreeFunction,0.11683614,0.243717565
Pregnancies,Age,0.146213999,0.329436028
Glucose,BloodPressure,0.136815625,0.394467313
Glucose,SkinThickness,0.108091637,0.381946474
Glucose,Insulin,0.025679963,0.340385759
Glucose,BMI,0.088645771,0.436067487
Glucose,DiabetesPedigreeFunction,0.109308424,0.388693909
Glucose,Age,0.123120233,0.458846323
BloodPressure,SkinThickness,0.100241512,0.195810251
BloodPressure,Insulin,0.097744808,0.234164506
BloodPressure,BMI,0.052878809,0.222014427
BloodPressure,DiabetesPedigreeFunction,0.097956596,0.199055984
BloodPressure,Age,0.103133822,0.260573814
SkinThickness,Insulin,0.094087699,0.246710547
SkinThickness,BMI,0.035013779,0.220352547
SkinThickness,DiabetesPedigreeFunction,0.116974344,0.234276882
SkinThickness,Age,0.110494385,0.284137527
Insulin,BMI,0.083461957,0.309651683
Insulin,DiabetesPedigreeFunction,0.087157654,0.24531115
Insulin,Age,0.065832596,0.280326696
BMI,DiabetesPedigreeFunction,0.096140334,0.28700975
BMI,Age,0.110500248,0.357710267
DiabetesPedigreeFunction,Age,0.125443706,0.304617495
